timestamp,metric,value
2019-06-30,ed_visits_respiratory,4702
2019-07-07,ed_visits_respiratory,4666
2019-07-14,ed_visits_respiratory,4234
2019-07-21,ed_visits_respiratory,4099
2019-07-28,ed_visits_respiratory,4185
2019-08-04,ed_visits_respiratory,4214
2019-08-11,ed_visits_respiratory,4374
2019-08-18,ed_visits_respiratory,4605
2019-08-25,ed_visits_respiratory,4477
2019-09-01,ed_visits_respiratory,5081
2019-09-08,ed_visits_respiratory,5614
2019-09-15,ed_visits_respiratory,5965
2019-09-22,ed_visits_respiratory,6296
2019-09-29,ed_visits_respiratory,5517
2019-10-06,ed_visits_respiratory,5788
2019-10-13,ed_visits_respiratory,6192
2019-10-20,ed_visits_respiratory,6259
2019-10-27,ed_visits_respiratory,6193
2019-11-03,ed_visits_respiratory,6545
2019-11-10,ed_visits_respiratory,7215
2019-11-17,ed_visits_respiratory,7408
2019-11-24,ed_visits_respiratory,7545
2019-12-01,ed_visits_respiratory,7998
2019-12-08,ed_visits_respiratory,7973
2019-12-15,ed_visits_respiratory,8670
2019-12-22,ed_visits_respiratory,11012
2019-12-29,ed_visits_respiratory,12748
2020-01-05,ed_visits_respiratory,12007
2020-01-12,ed_visits_respiratory,11531
2020-01-19,ed_visits_respiratory,12783
2020-01-26,ed_visits_respiratory,13863
2020-02-02,ed_visits_respiratory,13719
2020-02-09,ed_visits_respiratory,12306
2020-02-16,ed_visits_respiratory,10992
2020-02-23,ed_visits_respiratory,9956
2020-03-01,ed_visits_respiratory,9760
2020-03-08,ed_visits_respiratory,11468
2020-03-15,ed_visits_respiratory,10697
2020-03-22,ed_visits_respiratory,8470
2020-03-29,ed_visits_respiratory,7879
2020-04-05,ed_visits_respiratory,7403
2020-04-12,ed_visits_respiratory,6867
2020-04-19,ed_visits_respiratory,6942
2020-04-26,ed_visits_respiratory,6129
2020-05-03,ed_visits_respiratory,5453
2020-05-10,ed_visits_respiratory,4918
2020-05-17,ed_visits_respiratory,4071
2020-05-24,ed_visits_respiratory,3584
2020-05-31,ed_visits_respiratory,3333
2020-06-07,ed_visits_respiratory,2913
2020-06-14,ed_visits_respiratory,2778
2020-06-21,ed_visits_respiratory,2928
2020-06-28,ed_visits_respiratory,2934
2020-07-05,ed_visits_respiratory,3035
2020-07-12,ed_visits_respiratory,3099
2020-07-19,ed_visits_respiratory,2934
2020-07-26,ed_visits_respiratory,3441
2020-08-02,ed_visits_respiratory,3361
2020-08-09,ed_visits_respiratory,3524
2020-08-16,ed_visits_respiratory,3578
2020-08-23,ed_visits_respiratory,3622
2020-08-30,ed_visits_respiratory,3608
2020-09-06,ed_visits_respiratory,3592
2020-09-13,ed_visits_respiratory,3577
2020-09-20,ed_visits_respiratory,3837
2020-09-27,ed_visits_respiratory,4046
2020-10-04,ed_visits_respiratory,4603
2020-10-11,ed_visits_respiratory,4313
2020-10-18,ed_visits_respiratory,4448
2020-10-25,ed_visits_respiratory,4272
2020-11-01,ed_visits_respiratory,4873
2020-11-08,ed_visits_respiratory,5571
2020-11-15,ed_visits_respiratory,5841
2020-11-22,ed_visits_respiratory,6023
2020-11-29,ed_visits_respiratory,6859
2020-12-06,ed_visits_respiratory,7122
2020-12-13,ed_visits_respiratory,6832
2020-12-20,ed_visits_respiratory,7048
2020-12-27,ed_visits_respiratory,7551
2021-01-03,ed_visits_respiratory,7637
2021-01-10,ed_visits_respiratory,6898
2021-01-17,ed_visits_respiratory,6389
2021-01-24,ed_visits_respiratory,5747
2021-01-31,ed_visits_respiratory,5125
2021-02-07,ed_visits_respiratory,4528
2021-02-14,ed_visits_respiratory,4228
2021-02-21,ed_visits_respiratory,4397
2021-02-28,ed_visits_respiratory,4220
2021-03-07,ed_visits_respiratory,4319
2021-03-14,ed_visits_respiratory,4589
2021-03-21,ed_visits_respiratory,4874
2021-03-28,ed_visits_respiratory,5068
2021-04-04,ed_visits_respiratory,5307
2021-04-11,ed_visits_respiratory,5169
2021-04-18,ed_visits_respiratory,4792
2021-04-25,ed_visits_respiratory,4862
2021-05-02,ed_visits_respiratory,4593
2021-05-09,ed_visits_respiratory,4740
2021-05-16,ed_visits_respiratory,4914
2021-05-23,ed_visits_respiratory,4537
2021-05-30,ed_visits_respiratory,4950
2021-06-06,ed_visits_respiratory,5148
2021-06-13,ed_visits_respiratory,5617
2021-06-20,ed_visits_respiratory,5559
2021-06-27,ed_visits_respiratory,5406
2021-07-04,ed_visits_respiratory,5527
2021-07-11,ed_visits_respiratory,5929
2021-07-18,ed_visits_respiratory,6406
2021-07-25,ed_visits_respiratory,6890
2021-08-01,ed_visits_respiratory,7109
2021-08-08,ed_visits_respiratory,7471
2021-08-15,ed_visits_respiratory,7589
2021-08-22,ed_visits_respiratory,7311
2021-08-29,ed_visits_respiratory,7308
2021-09-05,ed_visits_respiratory,8075
2021-09-12,ed_visits_respiratory,8095
2021-09-19,ed_visits_respiratory,8564
2021-09-26,ed_visits_respiratory,8699
2021-10-03,ed_visits_respiratory,8890
2021-10-10,ed_visits_respiratory,9108
2021-10-17,ed_visits_respiratory,8510
2021-10-24,ed_visits_respiratory,7695
2021-10-31,ed_visits_respiratory,8137
2021-11-07,ed_visits_respiratory,8709
2021-11-14,ed_visits_respiratory,9196
2021-11-21,ed_visits_respiratory,9887
2021-11-28,ed_visits_respiratory,11626
2021-12-05,ed_visits_respiratory,11789
2021-12-12,ed_visits_respiratory,11910
2021-12-19,ed_visits_respiratory,13478
2021-12-26,ed_visits_respiratory,20491
2022-01-02,ed_visits_respiratory,19051
2022-01-09,ed_visits_respiratory,14136
2022-01-16,ed_visits_respiratory,10214
2022-01-23,ed_visits_respiratory,7374
2022-01-30,ed_visits_respiratory,5889
2022-02-06,ed_visits_respiratory,5171
2022-02-13,ed_visits_respiratory,4861
2022-02-20,ed_visits_respiratory,4669
2022-02-27,ed_visits_respiratory,4881
2022-03-06,ed_visits_respiratory,5298
2022-03-13,ed_visits_respiratory,5997
2022-03-20,ed_visits_respiratory,6607
2022-03-27,ed_visits_respiratory,7680
2022-04-03,ed_visits_respiratory,8780
2022-04-10,ed_visits_respiratory,9820
2022-04-17,ed_visits_respiratory,9486
2022-04-24,ed_visits_respiratory,9691
2022-05-01,ed_visits_respiratory,10387
2022-05-08,ed_visits_respiratory,11573
2022-05-15,ed_visits_respiratory,10619
2022-05-22,ed_visits_respiratory,9574
2022-05-29,ed_visits_respiratory,8828
2022-06-05,ed_visits_respiratory,8125
2022-06-12,ed_visits_respiratory,7797
2022-06-19,ed_visits_respiratory,7726
2022-06-26,ed_visits_respiratory,7796
2022-07-03,ed_visits_respiratory,7523
2022-07-10,ed_visits_respiratory,7317
2022-07-17,ed_visits_respiratory,7150
2022-07-24,ed_visits_respiratory,6971
2022-07-31,ed_visits_respiratory,6996
2022-08-07,ed_visits_respiratory,7128
2022-08-14,ed_visits_respiratory,7110
2022-08-21,ed_visits_respiratory,7098
2022-08-28,ed_visits_respiratory,6806
2022-09-04,ed_visits_respiratory,7062
2022-09-11,ed_visits_respiratory,8548
2022-09-18,ed_visits_respiratory,9238
2022-09-25,ed_visits_respiratory,9653
2022-10-02,ed_visits_respiratory,10198
2022-10-09,ed_visits_respiratory,10379
2022-10-16,ed_visits_respiratory,10406
2022-10-23,ed_visits_respiratory,11167
2022-10-30,ed_visits_respiratory,12010
2022-11-06,ed_visits_respiratory,11987
2022-11-13,ed_visits_respiratory,11297
2022-11-20,ed_visits_respiratory,12225
2022-11-27,ed_visits_respiratory,15254
2022-12-04,ed_visits_respiratory,16030
2022-12-11,ed_visits_respiratory,15792
2022-12-18,ed_visits_respiratory,15431
2022-12-25,ed_visits_respiratory,15087
2023-01-01,ed_visits_respiratory,12920
2023-01-08,ed_visits_respiratory,10000
2023-01-15,ed_visits_respiratory,8502
2023-01-22,ed_visits_respiratory,8144
2023-01-29,ed_visits_respiratory,7800
2023-02-05,ed_visits_respiratory,8278
2023-02-12,ed_visits_respiratory,8635
2023-02-19,ed_visits_respiratory,8017
2023-02-26,ed_visits_respiratory,7877
2023-03-05,ed_visits_respiratory,7838
2023-03-12,ed_visits_respiratory,7786
2023-03-19,ed_visits_respiratory,8037
2023-03-26,ed_visits_respiratory,8309
2023-04-02,ed_visits_respiratory,7970
2023-04-09,ed_visits_respiratory,8061
2023-04-16,ed_visits_respiratory,6987
2023-04-23,ed_visits_respiratory,6743
2023-04-30,ed_visits_respiratory,6802
2023-05-07,ed_visits_respiratory,7039
2023-05-14,ed_visits_respiratory,7178
2023-05-21,ed_visits_respiratory,6815
2023-05-28,ed_visits_respiratory,7101
2023-06-04,ed_visits_respiratory,6646
2023-06-11,ed_visits_respiratory,6777
2023-06-18,ed_visits_respiratory,6417
2023-06-25,ed_visits_respiratory,5566
2023-07-02,ed_visits_respiratory,5391
2023-07-09,ed_visits_respiratory,5385
2023-07-16,ed_visits_respiratory,5357
2023-07-23,ed_visits_respiratory,5358
2023-07-30,ed_visits_respiratory,5490
2023-08-06,ed_visits_respiratory,5870
2023-08-13,ed_visits_respiratory,5877
2023-08-20,ed_visits_respiratory,6116
2023-08-27,ed_visits_respiratory,6189
2023-09-03,ed_visits_respiratory,6790
2023-09-10,ed_visits_respiratory,6863
2023-09-17,ed_visits_respiratory,7569
2023-09-24,ed_visits_respiratory,7810
2023-10-01,ed_visits_respiratory,8555
2023-10-08,ed_visits_respiratory,8196
2023-10-15,ed_visits_respiratory,8460
2023-10-22,ed_visits_respiratory,8698
2023-10-29,ed_visits_respiratory,8621
2023-11-05,ed_visits_respiratory,9547
2023-11-12,ed_visits_respiratory,10118
2023-11-19,ed_visits_respiratory,10429
2023-11-26,ed_visits_respiratory,11929
2023-12-03,ed_visits_respiratory,11943
2023-12-10,ed_visits_respiratory,12701
2023-12-17,ed_visits_respiratory,13635
2023-12-24,ed_visits_respiratory,15348
2023-12-31,ed_visits_respiratory,14310
2024-01-07,ed_visits_respiratory,11794
2024-01-14,ed_visits_respiratory,10187
2024-01-21,ed_visits_respiratory,10238
2024-01-28,ed_visits_respiratory,10027
2024-02-04,ed_visits_respiratory,10599
2024-02-11,ed_visits_respiratory,10137
2024-02-18,ed_visits_respiratory,10384
2024-02-25,ed_visits_respiratory,9871
2024-03-03,ed_visits_respiratory,9327
2024-03-10,ed_visits_respiratory,8987
2024-03-17,ed_visits_respiratory,8924
2024-03-24,ed_visits_respiratory,9131
2024-03-31,ed_visits_respiratory,9154
2024-04-07,ed_visits_respiratory,8995
2024-04-14,ed_visits_respiratory,7799
2024-04-21,ed_visits_respiratory,7381
2024-04-28,ed_visits_respiratory,7126
2024-05-05,ed_visits_respiratory,7153
2024-05-12,ed_visits_respiratory,7160
2024-05-19,ed_visits_respiratory,7195
2024-05-26,ed_visits_respiratory,6853
2024-06-02,ed_visits_respiratory,6575
2024-06-09,ed_visits_respiratory,6494
2024-06-16,ed_visits_respiratory,6168
2024-06-23,ed_visits_respiratory,6291
2024-06-30,ed_visits_respiratory,6216
2024-07-07,ed_visits_respiratory,6322
2024-07-14,ed_visits_respiratory,6044
2024-07-21,ed_visits_respiratory,6176
2024-07-28,ed_visits_respiratory,6483
2024-08-04,ed_visits_respiratory,6455
2024-08-11,ed_visits_respiratory,6728
2024-08-18,ed_visits_respiratory,6880
2024-08-25,ed_visits_respiratory,6807
2024-09-01,ed_visits_respiratory,6826
2024-09-08,ed_visits_respiratory,7439
2024-09-15,ed_visits_respiratory,7900
2024-09-22,ed_visits_respiratory,7721
2024-09-29,ed_visits_respiratory,7802
2024-10-06,ed_visits_respiratory,8236
2024-10-13,ed_visits_respiratory,8358
2024-10-20,ed_visits_respiratory,8699
2024-10-27,ed_visits_respiratory,8304
2024-11-03,ed_visits_respiratory,8422
2024-11-10,ed_visits_respiratory,8664
2024-11-17,ed_visits_respiratory,9141
2024-11-24,ed_visits_respiratory,8893
2024-12-01,ed_visits_respiratory,9871
2024-12-08,ed_visits_respiratory,10541
2024-12-15,ed_visits_respiratory,11120
2024-12-22,ed_visits_respiratory,12414
2024-12-29,ed_visits_respiratory,14058
2025-01-05,ed_visits_respiratory,12611
2025-01-12,ed_visits_respiratory,13084
2025-01-19,ed_visits_respiratory,14147
2025-01-26,ed_visits_respiratory,15588
2025-02-02,ed_visits_respiratory,15970
2025-02-09,ed_visits_respiratory,13895
2025-02-16,ed_visits_respiratory,11450
2025-02-23,ed_visits_respiratory,10113
2025-03-02,ed_visits_respiratory,8860
2025-03-09,ed_visits_respiratory,8369
2025-03-16,ed_visits_respiratory,7925
2025-03-23,ed_visits_respiratory,7562
2025-03-30,ed_visits_respiratory,7739
2025-04-06,ed_visits_respiratory,7545
2025-04-13,ed_visits_respiratory,7552
2025-04-20,ed_visits_respiratory,7098
2025-04-27,ed_visits_respiratory,6618
2025-05-04,ed_visits_respiratory,6187
2025-05-11,ed_visits_respiratory,6463
2025-05-18,ed_visits_respiratory,6381
2025-05-25,ed_visits_respiratory,6880
2025-06-01,ed_visits_respiratory,6250
2025-06-08,ed_visits_respiratory,5953
2025-06-15,ed_visits_respiratory,5848
2025-06-22,ed_visits_respiratory,5737
2025-06-29,ed_visits_respiratory,5351
2025-07-06,ed_visits_respiratory,5431
2025-07-13,ed_visits_respiratory,4987
2025-07-20,ed_visits_respiratory,4850
2025-07-27,ed_visits_respiratory,4695
2025-08-03,ed_visits_respiratory,4815
2025-08-10,ed_visits_respiratory,5146
2025-08-17,ed_visits_respiratory,4970
2025-08-24,ed_visits_respiratory,5101
2025-08-31,ed_visits_respiratory,5435
2025-09-07,ed_visits_respiratory,5795
2025-09-14,ed_visits_respiratory,6422
2025-09-21,ed_visits_respiratory,6397
2025-09-28,ed_visits_respiratory,6075
2025-10-05,ed_visits_respiratory,6096
2025-10-12,ed_visits_respiratory,5994
2025-10-19,ed_visits_respiratory,6271
2025-10-26,ed_visits_respiratory,6210
2025-11-02,ed_visits_respiratory,6579
2025-11-09,ed_visits_respiratory,6738
2025-11-16,ed_visits_respiratory,6925
2025-11-23,ed_visits_respiratory,7514
2025-11-30,ed_visits_respiratory,8224
2025-12-07,ed_visits_respiratory,9944
2025-12-14,ed_visits_respiratory,12693
2025-12-21,ed_visits_respiratory,15521
2025-12-28,ed_visits_respiratory,15488
2026-01-04,ed_visits_respiratory,12585
2026-01-11,ed_visits_respiratory,10570
2026-01-18,ed_visits_respiratory,8716
2026-01-25,ed_visits_respiratory,7101
2026-02-01,ed_visits_respiratory,7514
2026-02-08,ed_visits_respiratory,7978
2026-02-15,ed_visits_respiratory,8249
2026-02-22,ed_visits_respiratory,7609
2026-03-01,ed_visits_respiratory,6890
2026-03-08,ed_visits_respiratory,7728
2026-03-15,ed_visits_respiratory,7727
2026-03-22,ed_visits_respiratory,8276
2026-03-29,ed_visits_respiratory,8230
2026-04-05,ed_visits_respiratory,7801
2026-04-12,ed_visits_respiratory,7502
2026-04-19,ed_visits_respiratory,6378
2026-04-26,ed_visits_respiratory,6159
2026-05-03,ed_visits_respiratory,6175
2026-05-10,ed_visits_respiratory,6374
2026-05-17,ed_visits_respiratory,5937
2026-05-24,ed_visits_respiratory,5113
2019-06-30,hospital_admissions_respiratory,1543
2019-07-07,hospital_admissions_respiratory,1564
2019-07-14,hospital_admissions_respiratory,1449
